gene_id,product,subsystem,system,value
MED134_04954,hypothetical protein,Unspecified,Unspecified,33908.89861320512
MED134_14141,isocitrate dehydrogenase,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00480 Glutathione metabolism [PATH:dok00480]']","['09101 Carbohydrate metabolism', '09106 Metabolism of other amino acids']",27702.575360013077
MED134_11165,ribonucleoside-diphosphate reductase small chain,"['00230 Purine metabolism [PATH:dok00230]', '00240 Pyrimidine metabolism [PATH:dok00240]']","['09104 Nucleotide metabolism', '09104 Nucleotide metabolism']",23494.791048545507
MED134_02355,sodium:alanine symporter family protein,Unspecified,Unspecified,18297.140006190577
MED134_04959,"preprotein translocase, YajC subunit","['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",17486.134726720455
MED134_09101,superoxide dismutase,Unspecified,Unspecified,17362.72314866383
MED134_09996,large-conductance mechanosensitive channel,Unspecified,Unspecified,13537.398557651415
MED134_04754,DNA topoisomerase IV subunit A,Unspecified,Unspecified,13292.724859187498
MED134_12556,carbamoyl-phosphate synthase small chain,"['00240 Pyrimidine metabolism [PATH:dok00240]', '00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]']","['09104 Nucleotide metabolism', '09105 Amino acid metabolism']",12891.038599051859
MED134_04329,TonB dependent/ligand-gated channel,Unspecified,Unspecified,11034.517545101047
MED134_00555,DNA-directed DNA polymerase,"['03030 DNA replication [PATH:dok03030]', '03410 Base excision repair [PATH:dok03410]', '03420 Nucleotide excision repair [PATH:dok03420]', '03440 Homologous recombination [PATH:dok03440]']","['09124 Replication and repair', '09124 Replication and repair', '09124 Replication and repair', '09124 Replication and repair']",10974.974901823882
MED134_11896,HD superfamily phosphohydrolase,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",10726.645297036488
MED134_09156,peptidase families S8 and S53,Unspecified,Unspecified,9872.417700280195
