gene_id,product,subsystem,system,value
MED134_02425,DNA-directed RNA polymerase beta' chain,['03020 RNA polymerase [PATH:dok03020]'],['09121 Transcription'],128799.41070494712
MED134_02415,50S ribosomal protein L7/L12,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],43913.646338780425
MED134_00635,hypothetical protein,Unspecified,Unspecified,43024.648940462735
MED134_02400,50S ribosomal protein L11,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],40979.93851982025
MED134_01280,50S ribosomal protein L21,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],40383.06434457582
MED134_10376,"ribonuclease, Rne/Rng family",Unspecified,Unspecified,37703.68105360608
MED134_12526,30S ribosomal protein S13,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],34290.1628837873
MED134_00525,elongation factor Ts (EF-Ts),Unspecified,Unspecified,32348.42845291906
MED134_04064,50S ribosomal protein L34,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],29413.025287733
MED134_13511,preprotein translocase subunit SecA,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",28175.471726519965
MED134_01650,polyribonucleotide nucleotidyltransferase,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",25665.07406628498
MED134_03869,50S ribosomal protein L31,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],21855.562350439537
MED134_01180,DNA topoisomerase I,Unspecified,Unspecified,16947.01744066768
MED134_02390,preprotein translocase subunit SecE,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",15293.083652925936
MED134_02105,hypothetical protein,Unspecified,Unspecified,9491.652915740804
MED134_10266,thioredoxin,Unspecified,Unspecified,8717.628941034334
MED134_10261,Clp protease,Unspecified,Unspecified,6915.07070563203
MED134_01185,"arginase/agmatinase/formimionoglutamate hydrolase, arginase family",Unspecified,Unspecified,5366.15591950238
MED134_10615,peptidase family M20/M25/M40,Unspecified,Unspecified,5098.729486100504
MED134_01075,hypothetical protein,['00270 Cysteine and methionine metabolism [PATH:dok00270]'],['09105 Amino acid metabolism'],5046.2608948421675
MED134_07094,GTP-dependent nucleic acid-binding protein,Unspecified,Unspecified,4782.384735340131
MED134_02150,two-component system sensor histidine kinase,['02020 Two-component system [PATH:dok02020]'],['09132 Signal transduction'],3861.4088148084893
MED134_13736,hypothetical protein,Unspecified,Unspecified,3813.5211037305567
MED134_04179,imidazolonepropionase,['00340 Histidine metabolism [PATH:dok00340]'],['09105 Amino acid metabolism'],3569.8059675437776
MED134_07354,hypothetical protein,Unspecified,Unspecified,3442.6326071647736
MED134_13386,alanine dehydrogenase,Unspecified,Unspecified,3357.796833197681
MED134_08396,peptidyl-tRNA hydrolase,Unspecified,Unspecified,3222.6080053333735
MED134_04184,Cys/Met metabolism PLP-dependent enzyme,"['00270 Cysteine and methionine metabolism [PATH:dok00270]', '00450 Selenocompound metabolism [PATH:dok00450]']","['09105 Amino acid metabolism', '09106 Metabolism of other amino acids']",3085.908356740407
MED134_12306,hypothetical protein,Unspecified,Unspecified,3014.7126044349266
MED134_12896,amidohydrolase,['00380 Tryptophan metabolism [PATH:dok00380]'],['09105 Amino acid metabolism'],2735.5631132393273
MED134_00815,Bvg accessory factor family protein,['00770 Pantothenate and CoA biosynthesis [PATH:dok00770]'],['09108 Metabolism of cofactors and vitamins'],2571.0480592651993
MED134_06259,radical SAM superfamily protein,Unspecified,Unspecified,2555.427192925311
MED134_12106,sulfate/thiosulfate import ATP-binding protein CysA,['02010 ABC transporters [PATH:dok02010]'],['09131 Membrane transport'],2549.803802474271
MED134_14361,Sua5/YciO/YrdC/YwlC family protein,Unspecified,Unspecified,2467.6401062161895
MED134_06654,hypothetical protein,Unspecified,Unspecified,2401.4046513399444
MED134_08081,pantothenate synthetase,"['00410 beta-Alanine metabolism [PATH:dok00410]', '00770 Pantothenate and CoA biosynthesis [PATH:dok00770]']","['09106 Metabolism of other amino acids', '09108 Metabolism of cofactors and vitamins']",2172.9393267470628
MED134_10880,hypothetical protein,Unspecified,Unspecified,2023.9650859950455
MED134_10580,hypothetical protein,Unspecified,Unspecified,1722.448151409018
MED134_10336,hypothetical protein,Unspecified,Unspecified,1624.978755167278
MED134_06114,hypothetical protein,Unspecified,Unspecified,1564.2553889598294
MED134_00835,hypothetical protein,Unspecified,Unspecified,1523.1637135266587
