gene_id,product,subsystem,system,value
MED134_05359,ATP-dependent Clp protease,Unspecified,Unspecified,26639.661396400363
MED134_05989,nucleotide sugar dehydrogenase,"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]', '02020 Two-component system [PATH:dok02020]']","['09101 Carbohydrate metabolism', '09107 Glycan biosynthesis and metabolism', '09132 Signal transduction']",22524.696907077407
MED134_11516,hypothetical protein,Unspecified,Unspecified,14957.280069228695
MED134_12681,alpha/beta hydrolase,Unspecified,Unspecified,14341.473031891504
MED134_08146,glycyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],13394.82385809028
MED134_09356,hypothetical protein,Unspecified,Unspecified,13234.408195448035
MED134_09711,hypothetical protein,Unspecified,Unspecified,12784.95970683403
MED134_11035,FeS assembly ATPase SufC,Unspecified,Unspecified,12340.36345080732
MED134_12616,aminotransferase class I and II,"['00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]', '00270 Cysteine and methionine metabolism [PATH:dok00270]', '00220 Arginine biosynthesis [PATH:dok00220]', '00330 Arginine and proline metabolism [PATH:dok00330]', '00350 Tyrosine metabolism [PATH:dok00350]', '00360 Phenylalanine metabolism [PATH:dok00360]', '00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:dok00400]', '00401 Novobiocin biosynthesis [PATH:dok00401]']","['09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09110 Biosynthesis of other secondary metabolites']",9918.642634715261
MED134_09321,phosphoglycerate kinase,['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]'],['09101 Carbohydrate metabolism'],9004.568682664654
MED134_02110,"DNA-directed RNA polymerase, omega subunit",Unspecified,Unspecified,8764.792715970856
