gene_id,product,subsystem,system,value
MED134_02420,DNA-directed RNA polymerase beta chain,['03020 RNA polymerase [PATH:dok03020]'],['09121 Transcription'],127292.78626606184
MED134_02950,30S ribosomal protein S1,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],109149.23861879666
MED134_12401,elongation factor EF-G,Unspecified,Unspecified,95078.84135938705
MED134_11371,"molybdopterin oxidoreductase, iron-sulfur binding subunit",Unspecified,Unspecified,91262.59783330045
MED134_00530,30S ribosomal protein S2,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],58190.373290487885
MED134_00540,50S ribosomal protein L13,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],55264.49195704242
MED134_12536,30S ribosomal protein S4,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],52024.6311187005
MED134_02405,50S ribosomal protein L1,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],51374.34063171977
MED134_10855,cold shock domain protein CspD,Unspecified,Unspecified,48492.9366610016
MED134_12426,50S ribosomal protein L2,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],46169.40340478152
MED134_12511,preprotein translocase SecY subunit,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",45864.13096674335
MED134_12441,30S ribosomal protein S3,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],45665.93287202917
MED134_07661,30S ribosomal protein S16,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],41919.23420334137
MED134_12416,50S ribosomal protein L4,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],41033.79483987026
MED134_02410,50S ribosomal protein L10,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],40479.45974775688
MED134_00845,peptidylprolyl isomerase,Unspecified,Unspecified,39731.47701606057
MED134_00535,30S ribosomal protein S9,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],38465.72640387407
MED134_10371,DNA-binding protein HU,Unspecified,Unspecified,37053.9668222732
MED134_05114,50S ribosomal protein L9,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],36808.529378908235
MED134_12396,30S ribosomal protein S7,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],35550.31313873804
MED134_05104,30S ribosomal protein S6,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],35041.95746231207
MED134_00640,50S ribosomal protein L32,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],33224.07978774498
MED134_12391,30S ribosomal protein S12,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],33171.469149075376
MED134_12461,50S ribosomal protein L14,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],32797.20246095124
MED134_11356,translation initiation factor IF-2,Unspecified,Unspecified,31826.063822742646
MED134_05109,30S ribosomal protein S18,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],31809.00390311582
MED134_07711,2-oxoglutarate dehydrogenase E1 component,['00020 Citrate cycle (TCA cycle) [PATH:dok00020]'],['09101 Carbohydrate metabolism'],30525.120053876897
MED134_12446,50S ribosomal protein L16,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],30218.807645877296
MED134_10061,sulfate permease,Unspecified,Unspecified,30166.395330254403
MED134_12546,50S ribosomal protein L17,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],29994.112802160635
MED134_12486,50S ribosomal protein L6,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],28127.487377260295
MED134_12471,50S ribosomal protein L5,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],27881.701022978756
MED134_12421,50S ribosomal protein L23,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],27876.63986412825
MED134_08401,"50S ribosomal protein L25, Ctc-form",['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],27384.577229772163
MED134_11366,cytochrome c,Unspecified,Unspecified,27378.81263719406
MED134_12456,30S ribosomal protein S17,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],27357.517972242924
MED134_12496,30S ribosomal protein S5,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],26530.15429254691
MED134_12436,50S ribosomal protein L22,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],25413.780937587035
MED134_12466,50S ribosomal protein L24,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],25325.855396984723
MED134_03419,hypothetical protein,Unspecified,Unspecified,24386.97655826843
MED134_12411,50S ribosomal protein L3,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],23710.36574535529
MED134_01890,hypothetical protein,Unspecified,Unspecified,23377.95173399208
MED134_12481,30S ribosomal protein S8,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],23191.979544454793
MED134_02245,50S ribosomal protein L28,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],23180.599202737976
MED134_12576,citrate synthase,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",22708.358731319917
MED134_12431,30S ribosomal protein S19,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],22105.41581014379
MED134_08066,glutamine-fructose-6-phosphate transaminase (isomerizing),"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism']",20831.29210421948
MED134_01655,30S ribosomal protein S15,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],19720.45859357236
MED134_05994,UDP-N-acetylglucosamine 2-epimerase,"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]', '02020 Two-component system [PATH:dok02020]']","['09101 Carbohydrate metabolism', '09107 Glycan biosynthesis and metabolism', '09132 Signal transduction']",19602.360693917068
MED134_02820,dihydrolipoyl dehydrogenase,"['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]', '00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00620 Pyruvate metabolism [PATH:dok00620]', '00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]', '00640 Propanoate metabolism [PATH:dok00640]', '00260 Glycine, serine and threonine metabolism [PATH:dok00260]', '00280 Valine, leucine and isoleucine degradation [PATH:dok00280]', '00310 Lysine degradation [PATH:dok00310]', '00380 Tryptophan metabolism [PATH:dok00380]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism']",19579.095634195375
MED134_01385,hypothetical protein,Unspecified,Unspecified,19405.38609824328
MED134_11050,FeS assembly protein SufB,Unspecified,Unspecified,18487.114758231106
MED134_01005,translation initiation factor IF-3,Unspecified,Unspecified,17681.051049816
MED134_14156,prolyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],17248.117218425505
