gene_id,cluster,product,subsystem,system,value
MED134_13806,C7,GTP-binding elongation factor family protein TypA/BipA,Unspecified,Unspecified,0.4068642245476987
MED134_06129,C7,cold shock domain protein CspD,Unspecified,Unspecified,0.28082761532061945
MED134_05054,C7,DEAD/DEAH box helicase,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",0.14595756501847212
MED134_05789,C7,peptidase family M13,Unspecified,Unspecified,0.08610854058526668
MED134_14381,C7,DEAD/DEAH box helicase,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",0.05143163455769604
MED134_05809,C7,DEAD/DEAH box helicase,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",0.04626656375572724
MED134_09231,C7,hypothetical protein,Unspecified,Unspecified,0.027501806587748926
MED134_05814,C7,chaperone protein DnaJ,Unspecified,Unspecified,0.02134539525998145
MED134_05724,C7,major facilitator superfamily permease,Unspecified,Unspecified,0.0143057473537585
MED134_11175,C7,hypothetical protein,Unspecified,Unspecified,0.0038979765138464364
