gene_id,cluster,product,subsystem,system,value
MED134_04199,C2,"DNA polymerase III, beta subunit","['03030 DNA replication [PATH:dok03030]', '03430 Mismatch repair [PATH:dok03430]', '03440 Homologous recombination [PATH:dok03440]']","['09124 Replication and repair', '09124 Replication and repair', '09124 Replication and repair']",19542.22482940441
MED134_05279,C2,hypothetical protein,Unspecified,Unspecified,15782.46882636301
MED134_08006,C2,biotin synthase,['00780 Biotin metabolism [PATH:dok00780]'],['09108 Metabolism of cofactors and vitamins'],13992.634346643106
MED134_01135,C2,TCP-1/cpn60 chaperonin family protein,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",13292.845496559243
MED134_07636,C2,hypothetical protein,Unspecified,Unspecified,11132.700466893555
MED134_09441,C2,phosphoribosylamine-glycine ligase,['00230 Purine metabolism [PATH:dok00230]'],['09104 Nucleotide metabolism'],10102.054517219083
MED134_14216,C2,UDP-N-acetylglucosamine1- carboxyvinyltransferase,"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00550 Peptidoglycan biosynthesis [PATH:dok00550]']","['09101 Carbohydrate metabolism', '09107 Glycan biosynthesis and metabolism']",9959.939237772265
MED134_06589,C2,serine hydroxymethyltransferase,"['00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]', '00680 Methane metabolism [PATH:dok00680]', '00260 Glycine, serine and threonine metabolism [PATH:dok00260]', '00460 Cyanoamino acid metabolism [PATH:dok00460]', '00670 One carbon pool by folate [PATH:dok00670]']","['09101 Carbohydrate metabolism', '09102 Energy metabolism', '09105 Amino acid metabolism', '09106 Metabolism of other amino acids', '09108 Metabolism of cofactors and vitamins']",8943.131269333371
MED134_00515,C2,uridylate kinase,['00240 Pyrimidine metabolism [PATH:dok00240]'],['09104 Nucleotide metabolism'],8214.156716255377
MED134_08896,C2,penicillin-binding protein 1A,"['00550 Peptidoglycan biosynthesis [PATH:dok00550]', '01501 beta-Lactam resistance [PATH:dok01501]']","['09107 Glycan biosynthesis and metabolism', '09175 Drug resistance: antimicrobial']",7937.238725789364
MED134_12646,C2,DNA primase,['03030 DNA replication [PATH:dok03030]'],['09124 Replication and repair'],7688.235175659842
MED134_14507,C2,AhpC/TSA family protein,Unspecified,Unspecified,6843.502814878428
MED134_02480,C2,phosphoribosylaminoimidazolesuccinocarboxamidesy nthase,['00230 Purine metabolism [PATH:dok00230]'],['09104 Nucleotide metabolism'],6340.183009955019
MED134_14016,C2,hypothetical protein,Unspecified,Unspecified,6055.204480933837
MED134_03399,C2,beta-ketoacyl-acyl-carrier-protein synthase III,['00061 Fatty acid biosynthesis [PATH:dok00061]'],['09103 Lipid metabolism'],5780.580512402954
MED134_06369,C2,hypothetical protein,Unspecified,Unspecified,5137.219238067375
MED134_12176,C2,peptidyl-dipeptidase,Unspecified,Unspecified,5094.326530021751
MED134_05694,C2,DEAD/DEAH box helicase,Unspecified,Unspecified,4792.31465935101
MED134_05259,C2,"RNA polymerase sigma factor, sigma-70 family",Unspecified,Unspecified,4731.728854734523
