gene_id,cluster,product,subsystem,system,value
MED134_02425,C6,DNA-directed RNA polymerase beta' chain,['03020 RNA polymerase [PATH:dok03020]'],['09121 Transcription'],3.351749839798864
MED134_02610,C6,zinc carboxypeptidase,Unspecified,Unspecified,2.970924547121199
MED134_10485,C6,hypothetical protein,Unspecified,Unspecified,1.7075855077850073
MED134_12511,C6,preprotein translocase SecY subunit,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",1.3895389537912342
MED134_08061,C6,"ATP synthase F1, beta subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],1.1887853194120812
MED134_00845,C6,peptidylprolyl isomerase,Unspecified,Unspecified,1.1380770273197311
MED134_00525,C6,elongation factor Ts (EF-Ts),Unspecified,Unspecified,0.8934207883614345
MED134_12496,C6,30S ribosomal protein S5,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.7853557377361867
MED134_12531,C6,30S ribosomal protein S11,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.7142550205679602
MED134_03419,C6,hypothetical protein,Unspecified,Unspecified,0.6899325420736221
MED134_13996,C6,hypothetical protein,Unspecified,Unspecified,0.6669501018465881
MED134_08066,C6,glutamine-fructose-6-phosphate transaminase (isomerizing),"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism']",0.6408499209983733
MED134_12506,C6,50S ribosomal protein L15,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.5790501819983441
MED134_01005,C6,translation initiation factor IF-3,Unspecified,Unspecified,0.49066679453621187
MED134_11636,C6,alanyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.48793322747885004
MED134_01180,C6,DNA topoisomerase I,Unspecified,Unspecified,0.46713030979648296
MED134_09946,C6,hypothetical protein,Unspecified,Unspecified,0.46016203434073594
MED134_05514,C6,cold shock domain protein CspD,Unspecified,Unspecified,0.45148673310415643
MED134_12516,C6,translation initiation factor IF-1,Unspecified,Unspecified,0.43907704693664507
MED134_00820,C6,hypothetical protein,Unspecified,Unspecified,0.42743211703228096
MED134_11581,C6,"efflux transporter, RND family, MFP subunit",Unspecified,Unspecified,0.42419264435723464
MED134_09536,C6,"ATP synthase, C subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],0.38823775764860724
MED134_02435,C6,two-component system sensor histidine kinase,"['02020 Two-component system [PATH:dok02020]', '02030 Bacterial chemotaxis [PATH:dok02030]']","['09132 Signal transduction', '09142 Cell motility']",0.3753452467673035
MED134_10865,C6,aspartyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.3725655053626196
MED134_01685,C6,3-deoxy-7-phosphoheptulonate synthase/chorismate mutase type II,"['00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:dok00400]']",['09105 Amino acid metabolism'],0.3630690548476946
MED134_10036,C6,"phenylalanyl-tRNA synthetase, alpha subunit",['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.3616765250751338
MED134_10056,C6,carbonic anhydrase,['00910 Nitrogen metabolism [PATH:dok00910]'],['09102 Energy metabolism'],0.3445550363336264
MED134_05014,C6,hypothetical protein,Unspecified,Unspecified,0.3147095535732736
MED134_03429,C6,OmpA family protein,Unspecified,Unspecified,0.302181417479527
MED134_09091,C6,PfkB family carbohydrate kinase,Unspecified,Unspecified,0.29886385652672887
MED134_11576,C6,outer membrane efflux protein,"['03070 Bacterial secretion system [PATH:dok03070]', '02020 Two-component system [PATH:dok02020]', '01501 beta-Lactam resistance [PATH:dok01501]', '01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:dok01503]']","['09131 Membrane transport', '09132 Signal transduction', '09175 Drug resistance: antimicrobial', '09175 Drug resistance: antimicrobial']",0.29874325318127526
MED134_12501,C6,50S ribosomal protein L30,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.28212584425860704
MED134_02105,C6,hypothetical protein,Unspecified,Unspecified,0.26072404473388533
