gene_id,product,subsystem,system,value
MED134_02405,50S ribosomal protein L1,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],16266.291179667196
MED134_12441,30S ribosomal protein S3,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],16175.481736748698
MED134_02415,50S ribosomal protein L7/L12,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],12727.829092640564
MED134_10376,"ribonuclease, Rne/Rng family",Unspecified,Unspecified,9243.888103773324
MED134_02395,transcriptional antitermination factor NusG,Unspecified,Unspecified,7672.362282744017
MED134_01890,hypothetical protein,Unspecified,Unspecified,6531.148560512381
MED134_03869,50S ribosomal protein L31,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],6521.653886035628
MED134_03589,methylmalonyl-CoA mutase,Unspecified,Unspecified,5518.878853736575
MED134_14156,prolyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],5381.017431351477
MED134_12516,translation initiation factor IF-1,Unspecified,Unspecified,5239.753658945905
MED134_00820,hypothetical protein,Unspecified,Unspecified,4715.028031718425
MED134_02390,preprotein translocase subunit SecE,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",4249.196349234971
